,Nationalrat,Fraktion,Kanton,Geb. Datum,Mit Mehrheit/Total,MitMehrheit/Prozent
0,Gmür Alois,CE,SZ,1955-04-03,1099.0,75.0
1,Spuhler Peter,V,TG,1959-01-09,518.0,32.7
2,Stahl Jürg,V,ZH,1968-01-16,824.0,53.8
3,Keller Peter,V,NW,1971-04-22,801.0,59.0
4,Lehmann Markus,CE,BS,1955-05-27,995.0,66.0
5,Bulliard-Marbach Christine,CE,FR,1959-10-13,1118.0,77.7
6,Bertschy Kathrin,GL,BE,1979-07-02,974.0,67.0
8,Wandfluh Hansruedi,V,BE,1952-01-16,790.0,52.8
9,Gasser Josias F.,GL,GR,1952-11-17,1080.0,74.3
10,Wyss Ursula,S,BE,1973-02-08,632.0,47.0
11,Amarelle Cesla,S,VD,1973-09-14,800.0,55.3
12,Chevalley Isabelle,GL,VD,1972-04-13,905.0,61.7
13,Hausammann Markus,V,TG,1964-09-20,881.0,58.5
14,Binder Max,V,ZH,1947-11-26,781.0,51.7
15,Egloff Hans,V,ZH,1959-11-27,684.0,44.5
16,Naef Martin,S,ZH,1970-11-10,722.0,51.3
17,Knecht Hansjörg,V,AG,1960-03-24,833.0,55.3
18,Piller Carrard Valérie,S,FR,1978-09-09,848.0,58.3
19,Gössi Petra,RL,SZ,1976-01-12,1057.0,70.5
20,Blocher Christoph,V,ZH,1940-10-11,479.0,33.7
21,Lohr Christian,CE,TG,1962-04-05,1058.0,72.5
22,Maier Thomas,GL,ZH,1975-08-01,947.0,64.0
23,Ribaux Alain,RL,NE,1962-02-24,1120.0,76.0
24,Romano Marco,CE,TI,1982-11-06,1149.0,79.0
25,Borer Roland F.,V,SO,1951-01-27,765.0,50.2
26,Schwaab Jean Christophe,S,VD,1979-08-23,787.0,54.5
27,Bortoluzzi Toni,V,ZH,1947-02-16,703.0,47.0
28,Gysi Barbara,S,SG,1964-05-14,772.0,54.0
29,Mörgeli Christoph,V,ZH,1960-07-16,618.0,39.3
30,Schläfli Urs,CE,SO,1963-07-20,1200.0,81.7
31,Schneider Schüttel Ursula,S,FR,1961-11-26,449.0,54.7
32,Schilliger Peter,RL,LU,1959-06-01,430.0,79.0
33,Rutz Gregor A.,V,ZH,1972-10-12,109.0,60.0
34,Stolz Daniel,RL,BS,1968-09-16,140.0,77.0
35,Leuenberger Ueli,G,GE,1952-03-26,805.0,55.5
36,Regazzi Fabio,CE,TI,1962-06-22,1121.0,76.0
37,Humbel Ruth,CE,AG,1957-07-23,1074.0,72.5
38,Vogler Karl,CE,OW,1956-03-24,1207.0,82.5
39,Huber Gabi,RL,UR,1956-02-29,1153.0,78.2
40,Büchler Jakob,CE,SG,1952-05-29,1075.0,73.2
41,Gschwind Jean-Paul,CE,JU,1952-10-31,1182.0,82.2
42,Parmelin Guy,V,VD,1959-11-09,899.0,59.3
43,Pfister Gerhard,CE,ZG,1962-10-01,982.0,66.8
44,Vischer Daniel,G,ZH,1950-01-16,762.0,52.0
45,Müri Felix,V,LU,1958-01-22,859.0,56.7
46,Müller Geri,G,AG,1960-10-27,804.0,55.5
47,Leutenegger Filippo,RL,ZH,1952-11-25,631.0,41.3
48,Giezendanner Ulrich,V,AG,1953-10-31,697.0,46.3
49,Germanier Jean-René,RL,VS,1958-12-18,948.0,65.0
50,Rime Jean-François,V,FR,1950-06-28,767.0,50.7
51,Sommaruga Carlo,S,GE,1959-07-08,782.0,54.2
52,Gross Andreas,S,ZH,1952-08-21,456.0,32.8
53,Fluri Kurt,RL,SO,1955-08-19,1030.0,70.7
54,Veillon Pierre-François,V,VD,1950-04-30,775.0,51.7
55,de Buman Dominique,CE,FR,1956-04-28,1139.0,78.2
56,Galladé Chantal,S,ZH,1972-12-17,791.0,53.7
57,Hutter Markus,RL,ZH,1957-02-20,903.0,59.8
58,Freysinger Oskar,V,VS,1960-06-12,808.0,53.7
59,Schenker Silvia,S,BS,1954-01-17,807.0,55.8
60,Allemann Evi,S,BE,1978-07-16,855.0,59.0
61,Darbellay Christophe,CE,VS,1971-03-07,1004.0,68.5
62,Amstutz Adrian,V,BE,1953-12-02,859.0,56.7
63,Müller Walter,RL,SG,1948-04-25,1000.0,68.8
64,Bäumle Martin,GL,ZH,1964-06-03,883.0,60.2
65,Markwalder Christa,RL,BE,1975-07-27,1035.0,70.2
66,Müller Philipp,RL,AG,1952-09-05,972.0,63.7
67,Wobmann Walter,V,SO,1957-11-21,840.0,55.5
68,Perrin Yvan,V,NE,1966-12-09,923.0,61.0
69,Kiener Nellen Margret,S,BE,1953-04-17,773.0,53.7
70,Noser Ruedi,RL,ZH,1961-04-14,839.0,57.0
